step,task_seed,mean_env_reward,mean_shaped_reward,std_shaped_reward,max_shaped_reward,min_shaped_reward,loss,pg_loss,kl,clip_frac,n_tokens,mean_n_mutations,mean_n_turns,grad_norm,updated,step_time_s
0,99,0.5,0.399999976,0.962140441,1.299999952,-0.5,0.152033723,0.152033723,0,0.006257333,2557,0.5,3.25,0.427542269,TRUE,92.88262844
1,196,0.625,0.625,0.931588471,1.299999952,-0.5,0.08277651,0.082739028,0.000936453,0.010917031,1832,0.625,2.375,1.190461755,TRUE,68.0064199
2,109,0.25,0.062499985,0.824512839,1.299999952,-0.5,-0.35935393,-0.359383058,0.000729364,0.005321171,5262,0.5,3.125,0.356199622,TRUE,148.710716
3,11,1,1.037500024,1.692789316,4.599999905,-0.5,-0.072498896,-0.072507157,0.000206847,0.003310489,17218,1,3.375,0.13551271,TRUE,413.3215227
4,67,1,1.300000072,1.27E-07,1.299999952,1.299999952,2.14E-05,1.19E-07,0.00053314,0.003989362,2256,1,2.875,0.006894535,TRUE,70.03435302
5,132,0.875,1.043750048,0.629873812,1.299999952,-0.5,-0.308221317,-0.308247502,0.00065452,0.002870264,1742,0.875,2.875,0.355913609,TRUE,64.68135667
6,126,0.75,0.787500024,0.802117705,1.299999952,-0.5,-0.044159558,-0.044263752,0.002604215,0.005008669,5191,0.75,2.75,0.342776597,TRUE,139.4878705
7,105,0.625,0.625,0.931588471,1.299999952,-0.5,-0.124311256,-0.124346706,0.000886319,0.005601093,7320,0.625,2,0.295922816,TRUE,188.4319263
8,78,1,1.300000072,1.27E-07,1.299999952,1.299999952,6.41E-05,1.19E-07,0.001598896,0.003653445,5748,1,2.625,0.021997843,TRUE,156.7731156
9,124,0.5,0.310416669,1.399289489,3.383333445,-0.5,-0.229915283,-0.229980507,0.001629384,0.010566242,7382,0.625,3.875,0.369859725,TRUE,204.7158713
10,92,0.875,1.012500048,0.621490121,1.299999952,-0.5,-0.002044589,-0.00208147,0.000922289,0.003908431,1791,0.875,2.875,0.490073472,TRUE,66.486691
11,151,2,2.329166651,0.812782347,3.5,1.299999952,-0.415858411,-0.416441796,0.014583846,0.005499838,6182,2,1.375,0.205444276,TRUE,156.2751725
12,56,0.625,0.59375,0.909645736,1.299999952,-0.5,0.422698692,0.422650871,0.001195662,0.004582305,5674,0.625,2.25,0.289539129,TRUE,149.3958466
13,131,2.25,2.637500048,0.989498377,4.599999905,1.299999952,-0.195794762,-0.19601231,0.005439275,0.005546847,8293,2.25,1.75,0.313752204,TRUE,204.1802304
14,36,1.125,1.331250072,0.873800218,2.400000095,-0.5,-0.342736538,-0.342996621,0.006501866,0.006128335,2774,1.125,2.5,0.582757771,TRUE,84.67978573
15,73,0.75,0.800000072,0.986697257,2.400000095,-0.5,-0.145582082,-0.145631528,0.001235805,0.00661157,6050,0.875,4.125,0.297159463,TRUE,178.2995174
16,36,1.5,1.618750095,1.309563041,2.400000095,-0.5,-0.164629006,-0.164775693,0.003666855,0.002325155,16343,1.5,1.5,0.107772037,TRUE,381.183743
17,195,0.625,0.537500024,1.166113853,2.400000095,-0.5,-0.16221403,-0.162241284,0.000682073,0.003227242,8986,0.625,2.25,0.195031688,TRUE,220.7711086
18,25,0.875,1.012500048,0.621490121,1.299999952,-0.5,-0.05096744,-0.053159408,0.054799062,0.011574074,1728,0.875,2.125,0.728484273,TRUE,55.76230526
19,160,0.875,1.075000048,0.63639611,1.299999952,-0.5,-0.00943069,-0.009704016,0.006832904,0.006393862,2346,0.875,2.75,0.446644306,TRUE,70.77695131
20,65,1.125,1.4375,0.388908774,2.400000095,1.299999952,-0.209625676,-0.212471982,0.071157494,0.003541913,1694,1.125,1.875,0.82697773,TRUE,52.54951954
21,138,1,1.268750072,0.088388346,1.299999952,1.049999952,-0.01857778,-0.018647033,0.001731876,0.004976893,2813,1,2.625,0.583286941,TRUE,80.52664804
22,182,1.625,1.881250143,1.189819217,3.5,-0.5,0.24283571,0.242716234,0.002985302,0.003329483,14717,1.625,2.5,0.130131245,TRUE,353.0316021
23,156,2,2.322916746,1.081956625,3.5,1.049999952,0.141222938,0.141078875,0.003601743,0.003630862,16525,2,2.875,0.147914335,TRUE,395.3893037
24,38,0.875,1.075000048,0.63639611,1.299999952,-0.5,-0.011088014,-0.011334721,0.006167815,0.005198181,1539,0.875,1.875,0.398706317,TRUE,52.40110326
